Source     RACODE         MJDate    J2000RA    J2000Dec    ObsFreq  Pol      FLUX    FLUXERR
0657+172   RG28BI    58201.92928  105.00638    17.15603    1.66800  RCP      0.93       0.05
0827+243   RK16HK    57751.07933  127.71704    24.18328    1.66800  LCP      0.92       0.06
0827+243   RK16HK    57751.07933  127.71704    24.18328    1.66800  RCP      0.83       0.03
0422+004   RK08AP    56908.40616   66.19517     0.60176    1.66800  LCP      0.34       0.01
0422+004   RK08AP    56908.40616   66.19517     0.60176    1.66800  RCP      0.35       0.04
2251+158   RK16BF    57680.28095  343.49063    16.14821    1.66800  LCP     12.65       0.02
2251+158   RK16BF    57680.28095  343.49063    16.14821    1.66800  RCP     14.63       0.02
1015+359   RK23BS    58453.51297  154.54579    35.71096    1.66800  LCP      0.53       0.01
1015+359   RK23BS    58453.51297  154.54579    35.71096    1.66800  RCP      0.68       0.02
0657+172   RG28BE    58200.92752  105.00635    17.15603    1.66800  LCP      0.83       0.04
0657+172   RG28BE    58200.92752  105.00635    17.15603    1.66800  RCP      0.95       0.04
1403+411   RK08XS    57171.94664  211.28250    40.94940    1.66800  LCP      0.33       0.01
1403+411   RK08XS    57171.94664  211.28250    40.94940    1.66800  RCP      0.40       0.01
